무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
천안서북-F0070,충청남도,천안시 서북구,시도,,3공단6로,3,충청남도 천안시 서북구 3공단6로 77,충청남도 천안시 서북구 차암동 438,36.84271707,127.105414,코스트코주변,4,0,,,2.0,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0071,충청남도,천안시 서북구,시도,,한들3로,3,충청남도 천안시 서북구 한들3로 76,충청남도 천안시 서북구 백석동 35-27,36.8303998,127.1238075,한들3로(선영) 주변,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0072,충청남도,천안시 서북구,시도,,성정공원5로,3,충청남도 천안시 서북구 성정공원5로 21,충청남도 천안시 서북구 성정동 1499,36.82762741,127.1390734,성정공원5길 주변,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0073,충청남도,천안시 서북구,시도,,불당11로,3,충청남도 천안시 서북구 불당11로 101,충청남도 천안시 서북구 불당동 802,36.8052262,127.1159355,봉서산로(불당호반) 주변,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0074,충청남도,천안시 서북구,시도,,공원로,3,충청남도 천안시 서북구 공원로 195,충청남도 천안시 서북구 불당동 1292,36.79980413,127.1006794,펜타포트몰 주차장입구 주변,4,0,,,,2019.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0076,충청남도,천안시 서북구,시도,,3공단6로,3,충청남도 천안시 서북구 3공단6로 33,충청남도 천안시 서북구 차암동 448,36.84104302,127.0997154,3공단6로 부근,4,0,,,,2015.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0077,충청남도,천안시 서북구,시도,,3공단6로,3,충청남도 천안시 서북구 3공단6로 140,충청남도 천안시 서북구 차암동 423,36.84551297,127.1093282,백석공단1로(후문),4,0,,,,2015.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0031,충청남도,천안시 서북구,시도,,서부대로,3,충청남도 천안시 서북구 성정중7길 3,충청남도 천안시 서북구 성정동 1538,36.82854029,127.1332339,서부대로(늘푸른극동),4,0,,,,2015.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0032,충청남도,천안시 서북구,시도,,오성로,3,충청남도 천안시 서북구 오성로 92,충청남도 천안시 서북구 성정동 1116,36.83018337,127.1336414,두정동 통계청 부근,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0033,충청남도,천안시 서북구,시도,,서부3길,3,충청남도 천안시 서북구 서부3길78,충청남도 천안시 서북구 성정동 630-1,36.82537935,127.1409929,성정동 롯데마트 부근,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0034,충청남도,천안시 서북구,시도,,원두정3길,3,충청남도 천안시 서북구 원두정3길37,충청남도 천안시 서북구 두정동 941,36.83359352,127.1366411,두정동 매트로병원부근,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0035,충청남도,천안시 서북구,시도,,두정로,3,충청남도 천안시 서북구 두정로 132,충청남도 천안시 서북구 두정동 694,36.83364606,127.1314724,두정동 금성빌딩 부근(두정로132앞),4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0036,충청남도,천안시 서북구,시도,,두정로,3,충청남도 천안시 서북구 두정로 237,충청남도 천안시 서북구 두정동 1509,36.83357974,127.1434687,"두정로(대우1,2차) 부근",4,0,,,,2015.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0037,충청남도,천안시 서북구,시도,,월봉로,3,충청남도 천안시 서북구 월봉로 78,충청남도 천안시 서북구 쌍용동 1524-1,36.79759297,127.1183203,쌍용2소방파출소 부근,4,0,,,2.0,2016.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0038,충청남도,천안시 서북구,시도,,쌍용대로,3,충청남도 천안시 서북구 쌍용대로 253,충청남도 천안시 서북구 성정동 928,36.81983379,127.1355401,쌍용대로(우리은행),4,0,,,,2016.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0039,충청남도,천안시 서북구,시도,,쌍용19로,3,,충청남도 천안시 서북구 쌍용동 425-4,36.793685,127.120788,쌍용역입구 주변,4,0,,,,2017.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0040,충청남도,천안시 서북구,시도,,불당대로260,3,충청남도 천안시 서북구 불당대로 260,충청남도 천안시 서북구 쌍용동 222,36.79977459,127.124537,하이렉스파 주변,4,0,,,,2017.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0041,충청남도,천안시 서북구,시도,,봉정로,3,충청남도 천안시 서북구 봉정로 224-4,충청남도 천안시 서북구 성정동 663-1,36.8218946,127.1438789,성정동 축구센타 부근,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0043,충청남도,천안시 서북구,시도,,시청로,3,충청남도 천안시 서북구 시청로 39,충청남도 천안시 서북구 불당동 820,36.80639088,127.1113834,불당초교 입구 주변,4,0,,,,2014.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0044,충청남도,천안시 서북구,시도,,공원로,3,충청남도 천안시 서북구 공원로 196,충청남도 천안시 서북구 불당동 1289,36.79892927,127.1017766,펜타포트(모다아울렛) 정류장 부근,4,0,,,2.0,2017.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0045,충청남도,천안시 서북구,시도,,불당14로,3,충청남도 천안시 서북구 불당14로 48,충청남도 천안시 서북구 불당동 1415,36.79770303,127.107685,"희망로,광장로 교차로",4,0,,,,2019.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0046,충청남도,천안시 서북구,시도,,공원로,3,충청남도 천안시 서북구 공원로 227,충청남도 천안시 서북구 불당동 1299,36.80056457,127.1047271,세메스 어린이집 인근,4,0,,,,2017.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0048,충청남도,천안시 서북구,시도,,두정상가7길,3,충청남도 천안시 서북구 두정상가7길 32,충청남도 천안시 서북구 두정동 1393,36.83105832,127.141221,마사회 사거리,4,0,,,,2017.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0049,충청남도,천안시 서북구,시도,,성성8로,3,충청남도 천안시 서북구 성성8로 14-12,충청남도 천안시 서북구 성성동 668,36.840553,127.129977,성성8로 근린공원 사거리,4,0,,,,2022.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0050,충청남도,천안시 서북구,시도,,불당4로,3,충청남도 천안시 서북구 불당4로 39-21,충청남도 천안시 서북구 불당동 860,36.80584857,127.1087561,불당4로,4,0,,,,2011.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0051,충청남도,천안시 서북구,시도,,월봉로,3,충청남도 천안시 서북구 월봉로 48,충청남도 천안시 서북구 쌍용동 456,36.79347129,127.1190845,천안은혜교회 주변,4,0,,,,2011.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0052,충청남도,천안시 서북구,시도,,두정로,3,충청남도 천안시 서북구 두정로 98,충청남도 천안시 서북구 두정동 534,36.83375426,127.1277828,두정로(농협이화지점),4,0,,,,2011.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0053,충청남도,천안시 서북구,시도,,백석로,3,충청남도 천안시 서북구 백석로 116,충청남도 천안시 서북구 백석동 859,36.82308618,127.1243279,백석동 ACE프라자 주변,4,0,,,,2011.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
천안서북-F0054,충청남도,천안시 서북구,시도,,동서대로,3,충청남도 천안시 서북구 동서대로 61,충청남도 천안시 서북구 두정동 633,36.826097,127.1306047,두정이진병원주변,4,0,,,,2011.0,충청남도 천안시 서북구청,041-521-6420,2023-07-01,4490000,충청남도 천안시
G3636,충청남도,천안시 서북구,시도,,두정중8길,3,충청남도 천안시 서북구 두정중8길 1-6,충청남도 천안시 서북구 두정동 1801,36.83375301,127.138218,현대자동차 천안북부지점 앞 사거리,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3637,충청남도,천안시 서북구,일반국도,23,망향로,3,,충청남도 천안시 서북구 성거읍 오목리 49,36.88833101,127.207766,금정샛별아파트 앞,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3638,충청남도,천안시 서북구,일반국도,1,천안대로,3,,충청남도 천안시 서북구 성환읍 성환리 182-1,36.92741101,127.134172,갯방죽사거리,1,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3639,충청남도,천안시 동남구,일반국도,21,충절로,3,,충청남도 천안시 동남구 병천면 탑원리 356-2,36.75434434,127.3038315,매봉산터널 입구 진천방향,1,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G3640,충청남도,천안시 동남구,일반국도,21,충절로,3,,충청남도 천안시 동남구 병천면 용두리 465-4,36.7538342,127.309932,매봉산터널 입구 천안방향,1,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4110,충청남도,천안시 서북구,시도,,천안대로,3,,충청남도 천안시 서북구 직산읍 수헐리 75-1,36.8885011,127.1412011,부영아파트 입구,2,60,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4111,충청남도,천안시 동남구,시도,,충무로,3,,충청남도 천안시 동남구 원성동 619,36.7985011,127.1533011,천안시 동남구 남부오거리,2,50,,,99.0,2019.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4503,충청남도,천안시 동남구,일반국도,1,천안대로,3,,충청남도 천안시 동남구 신부동 42-23,36.82137011,127.162654,천안로사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4504,충청남도,천안시 동남구,시도,,충절로,3,,충청남도 천안시 동남구 원성동 602,36.80191301,127.158908,천안중학교 교문 앞,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4505,충청남도,천안시 동남구,일반국도,1,천안대로,3,,충청남도 천안시 동남구 삼룡동 401-7,36.78035301,127.165378,천안여고사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4492,충청남도,천안시 서북구,시도,,천안대로,3,,충청남도 천안시 서북구 두정동 387-2,36.82867011,127.152476,이안아파트후문 삼거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4493,충청남도,천안시 서북구,시도,,시청로,3,,충청남도 천안시 서북구 백석동 918,36.81876501,127.117208,호반리젠시빌103동 앞,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4494,충청남도,천안시 서북구,시도,,서부대로,3,,충청남도 천안시 서북구 성정동 577-2,36.81920401,127.131081,백석사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4495,충청남도,천안시 서북구,시도,,백석로,3,,충청남도 천안시 서북구 성정동 313-37,36.81845301,127.143047,봉정사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4496,충청남도,천안시 서북구,지방도,23,망향로,3,,충청남도 천안시 서북구 저리 57-17,36.87715601,127.199742,저리교차로,2,60,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4497,충청남도,천안시 서북구,시도,,번영로,3,,충청남도 천안시 서북구 업성동 171-1,36.85703801,127.137076,천안서북경찰서 앞 사거리,2,60,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4498,충청남도,천안시 서북구,시도,,천안대로,3,,충청남도 천안시 서북구 성환읍 매주리 45-6,36.90382201,127.1358301,부영아파트 삼거리,2,60,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4499,충청남도,천안시 동남구,일반국도,1,천안대로,3,,충청남도 천안시 동남구 신부동 524,36.82121201,127.162383,천안로사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4500,충청남도,천안시 동남구,시도,,서부대로,3,,충청남도 천안시 동남구 봉명동 291,36.81463401,127.130167,개목삼거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4501,충청남도,천안시 동남구,시도,,풍세로,3,,충청남도 천안시 동남구 풍세면 용정리 46-32,36.74528301,127.126119,버스정류장부근 삼거리,1,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4448,충청남도,천안시 동남구,시도,,각원사길,1,,충청남도 천안시 동남구 안서동 534-111,36.83103101,127.1772801,안서초등학교,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4449,충청남도,천안시 동남구,시도,,신부8길,2,,충청남도 천안시 동남구 신부동 997,36.8153978,127.1614714,천안신안초등학교 후문,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4450,충청남도,천안시 서북구,시도,,봉서산로,1,,충청남도 천안시 서북구 쌍용동 1926,36.80422801,127.119261,천안용암초등학교,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4451,충청남도,천안시 서북구,시도,,백석로,2,,충청남도 천안시 서북구 백석동 917,36.82090901,127.121177,천안백석초등학교,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4452,충청남도,천안시 동남구,시도,,일봉로,2,,충청남도 천안시 동남구 용곡동 607,36.79067201,127.136799,천안용소초등학교 부근,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4453,충청남도,천안시 서북구,시도,,불당11로,1,,충청남도 천안시 서북구 불당동 786,36.80337501,127.114394,천안서당초등학교,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4454,충청남도,천안시 동남구,시도,,새말1길,1,,충청남도 천안시 동남구 신방동 40-12,36.79026801,127.131391,천안신용초등학교 부근,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4455,충청남도,천안시 서북구,시도,,한들1로,2,,충청남도 천안시 서북구 백석동 308-4,36.82621601,127.116201,한들초등학교 부근,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4456,충청남도,천안시 동남구,시도,,청당5로,2,,충청남도 천안시 동남구 청당동 127-20,36.78011201,127.152485,천안청당초등학교 부근,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G4457,충청남도,천안시 서북구,시도,,봉주로,1,,충청남도 천안시 서북구 성거읍 신월리 2-7,36.87772301,127.158585,소망초등학교,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G5460,충청남도,천안시,기타,,경부고속도로,2,,충청남도 천안시 동남구 안서동 324-32,36.83402101,127.174463,"경부고속도로341.2km(천안 동남 안서동 324-32) 서울방향 1,2차로시점",99,110,1.0,11283.0,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G5462,충청남도,천안시,기타,,경부고속도로,2,,충청남도 천안시 서북구 입장면 가산리 433-1,36.93115801,127.189379,"경부고속도로352.5km(천안 서북 입장면 가산리 433-1) 서울방향 1,2차로종점",99,110,2.0,11283.0,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6598,충청남도,천안시 서북구,시도,,동서대로,2,,충청남도 천안시 서북구 성정동 1554,36.82593601,127.137249,시민문화여성회관사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6599,충청남도,천안시 동남구,시도,,풍세로,1,,충청남도 천안시 동남구 청수동 425,36.78750701,127.146969,청수회전교차로전,1,30,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6600,충청남도,천안시 동남구,시도,,다가로,3,,충청남도 천안시 동남구 다가동 60-1,36.78723801,127.146915,청수회전교차로전,1,30,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9610,충청남도,천안시 서북구,일반국도,1,불당대로,3,,충청남도 천안시 서북구 쌍용동 2034,36.80111111,127.1185556,용암사거리,1,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9611,충청남도,천안시 서북구,일반국도,1,천안대로,3,,충청남도 천안시 서북구 성환읍 매주리 91-3,36.89411111,127.1365556,시름세삼거리 전,2,60,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9612,충청남도,천안시 서북구,일반국도,1,서부대로,1,,충청남도 천안시 서북구 성정동 1544,36.8265011,127.1330278,서부대로사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9613,충청남도,천안시 서북구,일반국도,1,불당대로,2,,충청남도 천안시 서북구 쌍용동 779,36.80136464,127.1234416,쌍용초사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9614,충청남도,천안시 동남구,일반국도,1,차령로,2,,충청남도 천안시 동남구 광덕면 대평리 산29-1,36.66719444,127.1367778,대평리 원덕리 진출부,1,80,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6693,충청남도,천안시 서북구,시도,,와룡길,1,,충청남도 천안시 서북구 신가리 386-47,36.95142301,127.114502,신가초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6694,충청남도,천안시 서북구,시도,,하장4길,1,,충청남도 천안시 서북구 하장리 96-5,36.91373401,127.219181,입장초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6695,충청남도,천안시 서북구,시도,,성환1로,2,,충청남도 천안시 서북구 성환리 449-50,36.91760401,127.127953,성신초등학교 인근,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6696,충청남도,천안시 서북구,시도,,미라2길,2,,충청남도 천안시 서북구 쌍용동 1270,36.80168801,127.129235,천안미라초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6697,충청남도,천안시 동남구,시도,,신용로,1,,충청남도 천안시 동남구 다가동 478,36.80127901,127.140158,천안일봉초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6698,충청남도,천안시 서북구,시도,,봉명로,1,,충청남도 천안시 서북구 와촌동 178,36.80659201,127.145683,천안와촌초등학교 건너편,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6699,충청남도,천안시 서북구,시도,,수곡로,1,,충청남도 천안시 서북구 쌍용동 2046-2,36.78941401,127.123294,천안수곡초등학교 건너편,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6700,충청남도,천안시 서북구,시도,,월봉로,1,,충청남도 천안시 서북구 쌍용동 1899,36.79764701,127.114875,천안월봉초등학교 건너편,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6701,충청남도,천안시 동남구,시도,,풍세로,1,,충청남도 천안시 동남구 용곡동 573,36.78080701,127.140418,천안청룡초등학교 건너편,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6702,충청남도,천안시 서북구,시도,,업성3길,3,,충청남도 천안시 서북구 업성동 99-10,36.86014425,127.1422132,천안업성초등학교 건너편,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6703,충청남도,천안시 동남구,시도,,봉명로,1,,충청남도 천안시 동남구 봉명동 62-242,36.80707701,127.136241,천안봉명초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6704,충청남도,천안시 동남구,시도,,단대로,1,,충청남도 천안시 동남구 신부동 298-94,36.82584701,127.154654,천안희망초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6705,충청남도,천안시 서북구,시도,,성정두정로,2,,충청남도 천안시 서북구 두정동 1828,36.83677301,127.141951,천안신대초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6706,충청남도,천안시 동남구,시도,,봉서4길,1,,충청남도 천안시 동남구 봉명동 506,36.81199101,127.131947,천안봉서초등학교 건너편,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6707,충청남도,천안시 동남구,일반국도,21,남부대로,1,,충청남도 천안시 동남구 신방동 808-9,36.78467011,127.114102,"KCar 앞 1,2차로",1,70,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6709,충청남도,천안시 동남구,시도,,유량로,1,,충청남도 천안시 동남구 구성동 22-21,36.80230601,127.167535,충남화물자동차 매매단지 앞,1,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6710,충청남도,천안시 서북구,시도,,불당대로,1,,충청남도 천안시 서북구 불당동 1446,36.80146901,127.105621,갤러리아사거리,2,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6711,충청남도,천안시 동남구,시도,,유량로,1,,충청남도 천안시 동남구 유량동 360-5,36.80931011,127.173446,유량자동차매매단지 앞,1,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6713,충청남도,천안시 동남구,지방도,623,광덕로,1,,충청남도 천안시 동남구 광덕면 신흥리 96-4,36.70248801,127.114237,신흥교차로,1,50,,,99.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9699,충청남도,천안시 서북구,시도,,번영로,2,,충청남도 천안시 서북구 불당동 19-7,36.81544444,127.1095556,천안시청 입구 4가,2,60,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9700,충청남도,천안시 서북구,시도,,천안대로,2,,충청남도 천안시 서북구 두정동 98-5,36.83215833,127.1518801,두정역 입구 4가,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9701,충청남도,천안시 동남구,시도,,청수로,2,충청남도 천안시 동남구 청수로 125,충청남도 천안시 동남구 구성동 388-77,36.79380556,127.1578611,천안구성초등학교 앞,2,30,,,2.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F9702,충청남도,천안시 동남구,일반국도,1,광풍로,2,충청남도 천안시 동남구 광풍로 823,충청남도 천안시 동남구 광덕면 매당리 494,36.70122222,127.1029444,광풍로,1,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6666,충청남도,천안시 동남구,지방도,57,용암3길,2,,충청남도 천안시 동남구 북면 용암리 36-1,36.78762821,127.2595705,은석초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6667,충청남도,천안시 동남구,시도,,병천2로,2,,충청남도 천안시 동남구 병천면 병천리 123,36.7649011,127.2996011,병천초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6668,충청남도,천안시 동남구,시도,,병천2로,2,,충청남도 천안시 동남구 병천면 병천리 123,36.7649011,127.3011011,병천초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6669,충청남도,천안시 동남구,지방도,693,수신로,1,,충청남도 천안시 동남구 병천면 속창리 139,36.7323011,127.2836011,수신초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6670,충청남도,천안시 동남구,지방도,57,위례성로,2,,충청남도 천안시 동남구 북면 오곡리 360,36.8233011,127.273011,위례초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6671,충청남도,천안시 동남구,시도,,서리1길,1,,충청남도 천안시 동남구 목천읍 서리 1,36.7869011,127.2351011,목천초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6672,충청남도,천안시 동남구,시도,,충절로,1,,충청남도 천안시 동남구 목천읍 신계리 398,36.7693011,127.2015011,신계초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6673,충청남도,천안시 서북구,시도,,오성로,1,,충청남도 천안시 서북구 두정동 675,36.83049801,127.130379,천안오성초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6674,충청남도,천안시 서북구,시도,,봉정로,1,,충청남도 천안시 서북구 성정동 716-1,36.81532701,127.141954,천안성정초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6675,충청남도,천안시 서북구,시도,,쌍용6길,2,,충청남도 천안시 서북구 쌍용동 1300,36.80132801,127.123762,천안쌍용초등학교 앞,1,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6676,충청남도,천안시 서북구,시도,,충무로,1,,충청남도 천안시 서북구 쌍용동 2076,36.78781901,127.1151401,천안쌍정초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6677,충청남도,천안시 서북구,시도,,봉서산로,2,,충청남도 천안시 서북구 불당동 860,36.80678801,127.110391,천안불당초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6678,충청남도,천안시 서북구,시도,,봉주로,2,,충청남도 천안시 서북구 직산읍 삼은리 76-16,36.87690201,127.148328,삼은초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G6679,충청남도,천안시 서북구,시도,,성성6로,2,,충청남도 천안시 서북구 성성동 698,36.84165473,127.1374764,천안성성초등학교 앞,2,30,,,2.0,2020.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
