연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처
277,유치원,꿈동산유치원,0,0,32002,충남 서산시 벌말1길 25,041-667-3937
278,유치원,대장유치원,6,135,31912,충남 서산시 대산읍 탑성골 2길 33,041-663-8380
279,유치원,아이숲유치원,0,0,32013,충남 서산시 인지면 풍전2길 80-6,041-669-7814
280,유치원,우리유치원,7,133,32015,충남 서산시 인지면 둔산1길 115-11,041-667-8771
281,유치원,서정유치원,7,152,31973,충남 서산시 부춘3로 9,041-664-5335
282,유치원,늘푸른유치원,5,78,31920,충남 서산시 지곡면 충의로 762-95,041-664-5748
283,유치원,해맑은유치원,5,86,31995,충남 서산시 석남2로 18-13,041-669-9414
284,유치원,강경중앙초등학교병설유치원,4,26,32934,논산시 강경읍 옥녀봉로 8,041-745-0678
285,유치원,강경산양초등학교병설유치원,0,0,32942,논산시 강경읍 산양길 45,041-745-2219
286,유치원,강경황산초등학교병설유치원,0,0,32936,논산시 강경읍 대흥로34번길 5 ,041-745-0263
287,유치원,구자곡초등학교병설유치원,1,5,33011,논산시 연무로 369(연무읍),041-980-2997
288,유치원,연무초등학교병설유치원,1,3,33013,논산시 연무읍 득안대로 527번지,041-742-6961
289,유치원,연무중앙초등학교병설유치원,1,5,33008,논산시 연무읍 연무로 211-14,041-741-4112
290,유치원,성동초등학교병설유치원,1,3,32927,논산시 성동면 성동로 240번길 30,041-734-2622
291,유치원,원봉초등학교병설유치원,0,0,32926,논산시 성동면 성동로 552,041-734-6084
292,유치원,광석초등학교병설유치원,1,3,32922,논산시 광석면 사계로 451,041-732-8015
293,유치원,왕전초등학교병설유치원,1,4,32920,논산시 광석면 왕전2길 12,041-733-8069
294,유치원,노성초등학교병설유치원,1,3,32902,논산시 노성면 노성로 507번길 11,041-736-5580
295,유치원,상월초등학교병설유치원,1,4,32904,논산시 상월면 신충리 백일헌로 1025-13,041-733-3757
296,유치원,부적초등학교병설유치원,1,2,32917,논산시 부적면 남마구평길 70,041-733-7087
297,유치원,감곡초등학교병설유치원,1,2,32916,논산시 부적면 계백로 1676-26,041-732-7066
298,유치원,연산초등학교병설유치원,1,9,32911,논산시 연산면 연산5길 13,041-735-0665
299,유치원,청동초등학교병설유치원,1,4,32913,논산시 연산면 선비로 293번길 29-5,041-735-0532
300,유치원,백석초등학교병설유치원,1,4,32909,논산시 연산면 선비로 726,041-734-3866
301,유치원,벌곡초등학교병설유치원,1,7,33026,논산시벌곡면대둔로821-8,041-734-1690
302,유치원,도산초등학교병설유치원,1,9,33028,논산시 벌곡면 수락로 23,041-733-9781
303,유치원,양촌초등학교병설유치원,1,3,33023,논산시 양촌면 매죽헌로 1665번길 22,041-741-3324
304,유치원,반곡초등학교병설유치원,2,11,33021,논산시 양촌면 황산벌로 1126번길 5,041-736-3053
305,유치원,가야곡초등학교병설유치원,1,3,33019,논산시 가야곡면 덕은로 160,041-742-1603
306,유치원,성덕초등학교병설유치원,1,3,32999,논산시 은진면 원앙로 1174 ,041-742-6243
307,유치원,채운초등학교병설유치원,1,6,32945,논산시 채운면 채운로 112,041-980-3274
308,유치원,이화초등학교병설유치원,1,5,32946,논산시 채운면 채운로350,041-742-4556
309,유치원,놀뫼유치원,8,100,32947,논산시 대화로 121,041-733-8626
310,유치원,논산유치원,2,16,32968,논산시해월로173-4,041-733-1274
311,유치원,성심유치원,2,40,32950,논산시 대화로 24,041-736-4015
312,유치원,동산유치원,3,43,33008,논산시 연무읍 안심로 122-19,041-741-6622
313,유치원,쌘뽈유치원,4,89,32996,논산시 은진면 탑정로 265-22,041-742-8958
314,유치원,두마초등학교병설유치원,2,11,32837,계룡시 두마면 팥거리길160,042-841-5475
315,유치원,신도초등학교병설유치원,5,33,32819,계룡시 엄사면 번영3길 82,042-841-9863
316,유치원,금암초등학교병설유치원,4,48,32824,계룡시 장안로104,042-841-9737
317,유치원,계룡솔빛유치원(구 엄사유치원),3,31,32812,계룡시 엄사면 엄사중앙로 66,042-841-0058
318,유치원,성모유치원,6,129,32801,계룡시 신도안면 신도안1길 72,042-551-0181
319,유치원,원광유치원,0,0,32806,계룡시 엄사면 번영 4길 3-8,042-841-1787
320,유치원,본부유치원,6,113,32801,계룡시 신도안면 신도아2길 95,042-551-3546
321,유치원,세종유치원,10,194,32833,계룡시 금암3길 12,042-841-7252
322,유치원,당진용연유치원,6,90,31788,충남 당진시 용연로 19-19,041-354-3861
323,유치원,당진초등학교병설유치원,2,28,31776,충남 당진시 교동길 106,041-352-3105
324,유치원,성당초등학교병설유치원,1,8,31789,충남 당진시 역천로 222,041-355-5188
325,유치원,계성초등학교병설유치원,3,23,31771,충남 당진시 당진중앙1로 290,041-355-9328
326,유치원,탑동초등학교병설유치원,4,53,31780,충남 당진시 대호만로 12,041-355-1937
327,유치원,대덕초등학교병설유치원,3,52,31787,충남 당진시 대덕1로 80,041-430-0174
328,유치원,수청초등학교병설유치원,3,52,31817,충남 당진시 수청2로 37,041-358-9872
329,유치원,합덕초등학교병설유치원,0,0,31813,충남 당진시 합덕읍 덕평로 508,041-363-0515
330,유치원,합도초등학교병설유치원,1,9,31811,충남 당진시 합덕읍 면천로 1538,041-363-1685
331,유치원,신촌초등학교병설유치원,1,4,31815,충남 당진시 합덕읍 상덕로 620-13,041-362-4822
332,유치원,고대초등학교병설유치원,2,18,31793,충남 당진시 고대면 고대로 206,041-353-4041
333,유치원,고산초등학교병설유치원,1,7,31791,충남 당진시 고대면 서집들길 55,041-353-3820
334,유치원,석문초등학교병설유치원,1,14,31703,충남 당진시 석문면 다리들길7,041-352-9241
335,유치원,삼봉초등학교병설유치원,1,5,31706,충남 당진시 석문면 대호만로 1722-1,041-353-0042
336,유치원,초락초등학교병설유치원,1,7,31707,충남 당진시 석문면 샛터말길35,041-353-0604
337,유치원,조금초등학교병설유치원,1,8,31798,충남 당진시 대호지면 4.4 만세로 23,041-353-3126
338,유치원,정미초등학교병설유치원,1,7,31802,충남 당진시 정미면 운정로 642,041-353-1078
339,유치원,천의초등학교병설유치원,1,10,31800,충남 당진시 정미면 천평로 30,041-352-9409
340,유치원,면천초등학교병설유치원,1,4,31804,충남 당진시 면천면 면천서문1길 33,041-356-3096
341,유치원,순성초등학교병설유치원,2,25,31757,충남 당진시 순성면 순성로 473,041-353-5381
342,유치원,북창초등학교병설유치원,1,8,31759,충남 당진시 순성면 붉은재길68,041-362-3599
343,유치원,우강초등학교병설유치원,2,10,31754,충남 당진시 우강면 우강송산로 183-7,041-362-9017
344,유치원,신평초등학교병설유치원,1,8,31741,충남 당진시 신평면 원머리로 7,041-363-1358
345,유치원,서정초등학교병설유치원,2,23,31748,충남 당진시 신평면 거산3거리길 28-1,041-363-3115
346,유치원,한정초등학교병설유치원,1,5,31743,충남 당진시 신평면 샛터로 172 ,041-362-5172
347,유치원,송악초등학교병설유치원,1,12,31728,충남 당진시 송악읍 송악로 663-1,041-358-3040
348,유치원,전대초등학교병설유치원,1,6,31729,충남 당진시 송악읍 신평로 1185,041-357-8202
349,유치원,상록초등학교병설유치원,2,24,31723,충남 당진시 송악읍 송악로 1024,041-356-7079
350,유치원,송산초등학교병설유치원,1,10,31714,충남 당진시 송산면 상거길 19-1,041-353-8081
351,유치원,당산초등학교병설유치원,2,17,31713,충남 당진시 송산면 당산2로 185,041-356-0075
352,유치원,유곡초등학교병설유치원,1,8,31711,충남 당진시 송산면 송산로 821-17,041-353-4078
353,유치원,기지유치원,12,157,31732,충남 당진시 송악읍 틀모시로 897,041-356-7261
354,유치원,소화유치원,4,90,31769,충남 당진시 서문2길 28,041-356-1554
355,유치원,당진유치원,0,0,31717,충남 당진시 송산면 항거길 44-2,041-355-4007
356,유치원,성모유치원,3,51,31741,충남 당진시 신평면 신평길 63,041-363-6765
357,유치원,신성대학교부속유치원,6,132,31772,충남 당진시 무수동 7길 202,041-356-5761
358,유치원,글로벌꿈나래유치원,13,272,31771,충남 당진시 밤절로 30,041-356-6565
359,유치원,금성초등학교병설유치원,0,0,32707,충남 금산군 금성면 진산로 370,041-752-3010
360,유치원,금성초등학교금계분교장병설유치원,0,0,32716,충남 금산군 금성면 어필각로 448,041-753-7703
361,유치원,제원초등학교병설유치원,2,5,32723,충남 금산군 금산읍 제원면 제원3길 11,041-754-7023
362,유치원,부리초등학교병설유치원,1,3,32757,충남 금산군 부리면 현내로 81,041-754-0529
363,유치원,군북초등학교병설유치원,1,5,32718,충남 금산군 군북면 군북로 714 ,041-752-9769
364,유치원,용문초등학교병설유치원,1,10,32721,충남 금산군 군북면 시두물길 15,041-751-1656
365,유치원,상곡초등학교병설유치원,1,6,32717,충남 금산군 군북면 상곡길 34,041-753-7045
366,유치원,남일초등학교병설유치원,0,0,32758,충남 금산군 남일면 봉황로 83,041-752-1053
367,유치원,남이초등학교병설유치원,1,3,32751,충남 금산군 남이면 진악로 51,041-753-1016
368,유치원,진산초등학교병설유치원,1,5,32704,충남 금산군 진산면 읍내로 41,041-752-4040
369,유치원,복수초등학교병설유치원,1,3,32703,충남 금산군 복수면 복수로 137,041-753-8312
370,유치원,신대초등학교병설유치원,1,3,32701,충남 금산군 복수면 복수로 753,041-752-8212
371,유치원,추부초등학교병설유치원,1,8,32714,충남 금산군 추부면 하마전로 23,041-752-4938
372,유치원,성대초등학교병설유치원,1,3,32710,충남 금산군 추부면 군북로 1402,041-753-7168
373,유치원,백합유치원,4,66,32738,충남 금산군 금산읍 뒷담말길 38,041-752-7621
374,유치원,금산유치원,6,77,32742,충남 금산군 금산읍 진악로 1015,041-751-8478
375,유치원,부여유치원,6,93,33135,충남 부여군 부여읍 부소로 105-10,041-834-5226
376,유치원,백제초등학교병설유치원,2,7,33155,충남 부여군 부여읍 계백로321,041-833-7266
377,유치원,궁남초등학교병설유치원,1,6,33168,충남 부여군 부여읍 계백로 238-6,041-834-3325
378,유치원,대왕초등학교병설유치원,1,7,33160,충남 부여군 부여읍 금성로 150,041-834-6078
379,유치원,송간초등학교병설유치원,0,0,33127,충남 부여군 부여읍 삼충로 272번길 5,041-834-3346
380,유치원,규암초등학교병설유치원,4,35,33123,충남 부여군 규암면 계백로 3 ,041-835-6220
381,유치원,백강초등학교병설유치원,1,5,33116,충남 부여군 규암면 백제문로 251번길 20,041-835-9390
382,유치원,은산초등학교병설유치원,1,1,33313,충남 부여군 은산면 충의로 729,041-832-6390
383,유치원,외산초등학교병설유치원,0,0,33104,충남 부여군 외산면 만수로 421,041-836-5392
384,유치원,내산초등학교병설유치원,1,2,33195,충남 부여군 내산면 성충로 906,041-832-0878
385,유치원,구룡초등학교병설유치원,1,4,33191,충남 부여군 구룡면 태양로 25,041-832-2830
386,유치원,용당초등학교병설유치원,0,0,33190,충남 부여군 구룡면 용당로2번길 73,041-832-2193
387,유치원,홍산초등학교병설유치원,1,2,33200,충남 부여군 홍산면 홍산로 111번길 7,041-835-1095
388,유치원,옥산초등학교병설유치원,1,4,33205,충남 부여군 옥산면 대백제로 330,041-832-0091
389,유치원,마정초등학교병설유치원,0,0,33210,충남 부여군 남면 마정로 7-9,041-832-3190
390,유치원,충화초등학교병설유치원,1,2,33212,충남 부여군 충화면 팔충로 701,041-833-1095
391,유치원,양화초등학교병설유치원,1,1,33215,충남 부여군 양화면 충절로 215,041-833-3090
392,유치원,임천초등학교병설유치원,1,3,33219,충남 부여군 임천면 성흥로97번길15,041-832-1228
393,유치원,장암초등학교병설유치원,1,2,33183,충남 부여군 장암면 석동로 112,041-834-2625
394,유치원,세도초등학교병설유치원,1,2,33227,충남 부여군 세도면 세도로 68,041-834-4797
395,유치원,석성초등학교병설유치원,0,0,33179,충남 부여군 석성면 석성로 113-8,041-836-9088
396,유치원,석양초등학교병설유치원,1,9,33176,충남 부여군 석성면 증산로39번길 31,041-836-6190
397,유치원,초촌초등학교병설유치원,1,2,33175,충남 부여군 초촌면 초촌로 55,041-832-1076
398,유치원,부여중앙유치원,3,68,33152,충남 부여군 부여읍 사비로 75,041-833-7724
399,유치원,부여선교유치원,3,62,33138,충남 부여군 부여읍 성왕로 239-7,041-832-9497
400,유치원,옥토유치원,0,0,33159,충남 부여군 부여읍 성왕로 378,041-833-0795
401,유치원,장항초등학교병설유치원,3,10,33659,충남 서천군 장항읍 성주길6,041-956-6676
402,유치원,장항중앙초등학교병설유치원,2,18,33670,충남 서천군 장항읍 장항로121번길 7,041-956-1392
403,유치원,송림초등학교병설유치원,1,4,33658,충남 서천군 장항읍 옥도로 14,041-956-0621
404,유치원,서천초등학교병설유치원,4,52,33643,충남 서천군 서천읍 서천로98번길 5,041-953-6939
405,유치원,서남초등학교병설유치원,0,0,33653,충남 서천군 마서면 마서로 260번길 12,041-952-0307
406,유치원,마동초등학교병설유치원,1,5,33657,충남 서천군 마서면 원송로229,041-956-8909
407,유치원,송석초등학교병설유치원,1,7,33650,충남 서천군 마서면 송신로 432,041-952-8705
408,유치원,화양초등학교병설유치원,1,4,33629, 충남 서천군 화양면 화산로 64번길,041-951-2038
409,유치원,기산초등학교병설유치원,1,4,33628,충남 서천군 기산면 기산길 107,041-951-2049
410,유치원,한산초등학교병설유치원,1,2,33624,충남 서천군 한산면 한마로 48,041-952-3732
411,유치원,마산초등학교병설유치원,1,5,33622,충남 서천군 마산면 삼일로 327,041-952-9412
412,유치원,시초초등학교병설유치원,1,6,33620,충남 서천군 시초면 초현리 시초북로 31,041-952-4502
413,유치원,문산초등학교병설유치원,2,5,33617,충남 서천군 문산면 신농길 26-29,041-952-1355
414,유치원,오성초등학교병설유치원,1,7,33615,충남 서천군 판교면 종판로 857번길 13,041-951-9971
415,유치원,부내초등학교병설유치원,1,7,33611,충남 서천군 종천면 충서로363번길 23-1,041-953-1850
416,유치원,비인초등학교병설유치원,1,8,33608,충남 서천군 비인면 비인로 192(성내리),041-952-1325
417,유치원,서면초등학교병설유치원,1,7,33602,충남 서천군 서면 선합장길 15,041-951-5061
418,유치원,서도초등학교병설유치원,1,13,33603,충남 서천군 서면 공암남촌길 31번길 33,041-952-9338
419,유치원,청양유치원,6,55,33329,충남 청양군 청양읍 칠갑산로 1길 11-10,041-942-2840
420,유치원,운곡초등학교병설유치원,1,3,33315,충남 청양군 운곡면 청신로 882,041-942-9766
421,유치원,수정초등학교병설유치원,1,5,33345,충남 청양군 대치면 칠갑산로 514,041-942-3507
422,유치원,정산초등학교병설유치원,1,6,33352,충남 청양군 정산면 칠갑산로 1863,041-942-5051
423,유치원,목면초등학교병설유치원,1,4,33358,충남 청양군 목면 철마장길 27,041-944-0765
424,유치원,청남초등학교병설유치원,1,6,33363,충남 청양군 청남면 명덕로 207-4,041-943-4852
425,유치원,장평초등학교병설유치원,1,6,33367,충남 청양군 장평면 충의로 453,041-942-6822
426,유치원,미당초등학교병설유치원,1,3,33362,충남 청양군 장평면 낙지미당로 543-53,041-942-5127
427,유치원,남양초등학교병설유치원,1,8,33306,충남 청양군 남양면 구용길 324,041-944-0535
428,유치원,합천초등학교병설유치원,1,3,33310,충남 청양군 화성면 무한로 88,041-942-4012
429,유치원,가남초등학교병설유치원,0,0,33316,충남 청양군  비봉면 충절로 1962-7,041-943-4756
430,유치원,넓은마당유치원,2,19,33318,충남 청양군 비봉면 충절로 1630-6,041-944-0602
431,유치원,조양유치원,7,89,32216,충남 홍성군 홍성읍 도청대로 29-19,041-631-9962
432,유치원,광천초등학교병설유치원,1,11,32292,충남 홍성군 광천읍 홍남로 705번길 16,041-641-6356
433,유치원,홍북초등학교병설유치원,3,48,32260,충남 홍성군 자경로 33,041-632-9028
434,유치원,용봉초등학교병설유치원,1,2,32251,충남 홍성군 홍북읍 이응노로 277,041-631-1203
435,유치원,내포초등학교병설유치원,3,50,32272,충남 홍성군 홍북읍 홍학로 38,041-630-7916
436,유치원,한울초등학교병설유치원,3,52,32266,충남 홍성군 홍북읍 홍학로 131,041-631-6414
437,유치원,내포유치원,7,104,32268,충남 홍성군 홍북읍 신대2길 66,041-406-0002
438,유치원,가람유치원,15,208,32269,충남 홍성군 홍북읍 홍학로 180,041-339-3902
439,유치원,금마초등학교병설유치원,1,3,32280,충남 홍성군 금마면 광금북로 484,041-631-1221
440,유치원,배양초등학교병설유치원,1,4,32280,충남 홍성군 금마면 금마로 23-24,041-631-1225
441,유치원,홍동초등학교병설유치원,1,4,32284,충남 홍성군 홍동면 홍장남로 672번길 59,041-634-9510
442,유치원,금당초등학교병설유치원,1,3,32283,충남 홍성군 홍동면 초롱산길 9,041-634-8223
443,유치원,장곡초등학교병설유치원,1,6,32298,충남 홍성군 장곡면 도산1길 2,041-642-7790
444,유치원,은하초등학교병설유치원,1,1,32210,충남 홍성군 은하면 은하로 220,041-642-0864
445,유치원,결성초등학교병설유치원,1,3,32212,충남 홍성군 결성면 홍남서로 738번길 30,041-642-1884
446,유치원,서부초등학교병설유치원,1,3,32204,충남 홍성군 서부면 서부로 505,041-634-8536
447,유치원,신당초등학교병설유치원,1,4,32206,충남 홍성군 서부면 남당항로 270번길 43,041-631-1229
448,유치원,갈산초등학교병설유치원,1,5,32202,충남 홍성군 갈산면 갈산로 135,041-634-6653
449,유치원,구항초등학교병설유치원,1,3,32215,충남 홍성군 구항면 구성남로 928,041-631-3298
450,유치원,대정초등학교병설유치원,1,3,32214,충남 홍성군 구항면 거북로 20,041-641-0640
451,유치원,혜전대학교부속유치원,3,31,32244,충남 홍성군 홍성읍 대학길 18-23,041-632-0147
452,유치원,목화유치원,8,157,32218,충남 홍성군 홍성읍 대교길 33,041-632-0805
453,유치원,프라임유치원,6,127,32244,충남 홍성군 홍성읍 충서로1216번길 23,041-634-4795
454,유치원,풀꽃향기유치원,8,180,32266,충남 홍성군 홍북읍 홍예로 213,041-633-9967
455,유치원,내포글로벌유치원,10,206,32257,충남 홍성군 홍북읍 애향5길 15,041-633-1777
456,유치원,예산유치원,7,83,32435,예산군 예산읍 사직로 15    ,334-9889
457,유치원,금오초등학교병설유치원,1,10,32429,예산군 예산읍 역전로 134번길 40,331-0943
458,유치원,신례원초등학교병설유치원,1,5,32421,예산군 예산읍 신례원로 179,334-3584
459,유치원,대술초등학교병설유치원,1,4,32444,예산군 대술면 원농리길12,333-1940
460,유치원,신양초등학교병설유치원,1,3,32453,예산군 신양면 청신로 374,332-9254
461,유치원,웅산초등학교병설유치원,1,3,32457,예산군 광시면 예당로 181,332-1562
462,유치원,대흥초등학교병설유치원,1,1,32450,예산군 대흥면 의좋은형제길 16,332-9097
463,유치원,응봉초등학교병설유치원,1,4,32447,예산군 응봉면 예당로1504,333-0041
464,유치원,평촌초등학교병설유치원,1,3,32447,예산군 응봉면 예당로 1211,332-7226
465,유치원,삽교초등학교병설유치원,1,6,32414,예산군 삽교읍 삽교로 4길 26,337-2864
466,유치원,용동초등학교병설유치원,1,13,32412,예산군 삽교읍 삽교평야로 193,338-3634
467,유치원,보성초등학교병설유치원,3,52,32416,예산군 삽교읍 예학로 127,337-1742
468,유치원,덕산초등학교병설유치원,3,24,32406,예산군 덕산면 봉운로 38,337-0206
469,유치원,시량초등학교병설유치원,1,8,32407,예산군 덕산면 덕산온천로 91,337-5468
470,유치원,수덕초등학교병설유치원,1,3,32410,예산군 덕산면 수덕사로 631,337-7227
471,유치원,봉산초등학교병설유치원,1,8,32404,예산군 봉산면 봉산로 369-10,337-1051
472,유치원,고덕초등학교병설유치원,2,14,32403,예산군 고덕면 황금뜰로 203번지 ,337-8007
473,유치원,구만초등학교병설유치원,0,0,32402,예산군 고덕면 구만윗뜸길 27 ,337-8438
474,유치원,예덕초등학교병설유치원,1,5,32401,예산군 고덕면 몽곡상몽길 54,338-3707
475,유치원,신암초등학교병설유치원,1,4,32418,예산군 신암면 신암남로 285-6,332-9010
476,유치원,오가초등학교병설유치원,1,5,32425,예산군 오가면 역말로 89  ,333-0946 
477,유치원,양신초등학교병설유치원,1,3,32424,예산군 오가면 내양막 길 5,333-3764
478,유치원,성모유치원,2,23,32435,예산군 예산로 161번길 10,332-2565
479,유치원,세정유치원,6,94,32441,예산군 예산읍 예중길 24-26,333-3940
480,유치원,태안유치원,8,81,32148,충남 태안군 태안읍 냉천골길 16,041-675-3311
481,유치원,안면초등학교병설유치원,1,10,32164,충남 태안군 안면읍 장터로 230,041-673-1021
482,유치원,방포초등학교병설유치원,1,5,32166,충남 태안군 안면읍 꽃지해안로 519,041-674-4197
483,유치원,안중초등학교병설유치원,1,3,32167,충남 태안군 안면읍 율포길 31,041-673-5376
484,유치원,창기초등학교병설유치원,1,4,32162,충남 태안군 안면읍 황도로 72,041-673-7617
485,유치원,고남초등학교병설유치원,1,3,32172,충남 태안군 고남읍 안면대로 4189,041-673-5677
486,유치원,남면초등학교병설유치원,1,4,32154,충남 태안군 남면 남면로 125,041-672-4383
487,유치원,삼성초등학교병설유치원,1,3,32158,충남 태안군 남면 마검포길 93-1,041-675-4201
488,유치원,근흥초등학교병설유치원,0,0,32129,충남 태안군 근흥면 근흥로 716-8,041-673-0775
489,유치원,안흥초등학교병설유치원,1,2,32131,충남 태안군 근흥면 죽림길 45,041-674-9325
490,유치원,소원초등학교병설유치원,0,0,32120,충남 태안군 소원면 은골길 42,041-672-6005
491,유치원,모항초등학교병설유치원,1,5,32123,충남 태안군 소원면 모항파도로 116,041-672-9184
492,유치원,시목초등학교병설유치원,0,0,32118,충남 태안군 소원면 서해로 1147-26,041-674-6809
493,유치원,원북초등학교병설유치원,1,8,32109,충남 태안군 원북면 원이로 849-3,041-672-5070
494,유치원,대기초등학교병설유치원,0,0,32112,충남 태안군 원북면 대기길 12-21,041-672-0429
495,유치원,이원초등학교병설유치원,1,3,32103,충남 태안군 이원면 원이로 1536-31,041-672-8789
496,유치원,이원초등학교관동분교장병설유치원,0,0,32101,충남 태안군 이원면 원이로 1956,041-672-8067
497,유치원,파랑새유치원,5,94,32142,충남 태안군 태안읍 성안1길80,041-675-7171
498,초등학교,천안초등학교,18,386,31122,충남 천안시 동남구 중앙로 169,041-568-0747
499,초등학교,천안중앙초등학교,0,0,31129,충남 천안시 동남구 영성로 73,041-552-3562
500,초등학교,천안남산초등학교,20,391,31132,충남 천안시 동남구 버들1길 30,041-565-3833
501,초등학교,천안성정초등학교,17,282,31141,충남 천안시 서북구 성정7길 3,041-577-4105
502,초등학교,천안일봉초등학교,20,390,31154,충남 천안시 동남구 다가2길 3,041-579-8450
503,초등학교,환서초등학교,81,2154,31097,충남 천안시 서북구 한들2로 34-41,041-552-9858
504,초등학교,천안부대초등학교,12,171,31080,충남 천안시 서북구 공대길 37,041-568-8296
505,초등학교,천안업성초등학교,6,45,31076,충남 천안시 서북구 업성5길 20,041-583-3736
506,초등학교,천안청수초등학교,18,319,31190,충남 천안시 동남구 청수로 35-3,041-551-8951
507,초등학교,천안청당초등학교,49,1274,31211,충남 천안시 동남구 청당2길 94,041-523-2591
508,초등학교,천안신안초등학교,27,616,31125,충남 천안시 동남구 원성25길 21,041-622-7603
509,초등학교,안서초등학교,12,253,31066,충남 천안시 동남구 중암3길 10,041-551-4532
510,초등학교,천안봉명초등학교,14,260,31151,충남 천안시 동남구 봉명2길 11,041-576-3232
511,초등학교,천안구성초등학교,20,410,31194,충남 천안시 동남구 청수로 126,041-565-5193
512,초등학교,천안서초등학교,25,490,31134,충남 천안시 서북구 서부16길 27,041-620-3800
513,초등학교,천안봉서초등학교,27,559,31148,충남 천안시 동남구 봉서10길 12,041-577-8520
514,초등학교,천안미라초등학교,17,310,31155,충남 천안시 서북구 미라2길 13,041-571-4271
515,초등학교,천안쌍용초등학교,24,522,31166,충남 천안시 서북구 쌍용6길 9,041-571-8614
516,초등학교,천안신부초등학교,28,578,31119,충남 천안시 동남구 터미널5길 30,041-563-8246
517,초등학교,천안신용초등학교,29,652,31184,충남 천안시 동남구 새말1길 29,041-573-6105
518,초등학교,천안용암초등학교,23,531,31166,충남 천안시 서북구 월봉로 147,041-577-0382
519,초등학교,천안월봉초등학교,35,679,31171,충남 천안시 서북구 월봉4로 120-8,041-577-1816
520,초등학교,천안부성초등학교,29,630,31100,충남 천안시 서부구 부성1길 16,041-561-0490
521,초등학교,천안신촌초등학교,13,176,31177,충남 천안시 동남구 신촌4로 9,041-577-6852
522,초등학교,천안용곡초등학교,32,746,31185,충남 천안시 동남구 새말1길 73,041-569-6185
523,초등학교,천안용소초등학교,30,709,31184,충남 천안시 동남구 일봉로 82-18,041-579-8142
524,초등학교,천안백석초등학교,35,786,31158,충남 천안시 서북구 백석3로 98,041-622-8485
525,초등학교,천안오성초등학교,41,891,31090,충남 천안시 서북구 오성5길 23,041-522-6092
526,초등학교,천안두정초등학교,37,890,31103,충남 천안시 서북구 두정역서1길 10,041-622-9577
527,초등학교,천안수곡초등학교,25,619,31175,충남 천안시 서북구 수곡로 19-32 ,041-576-6028
528,초등학교,천안불당초등학교,48,1198,31164,충남 천안시 서북구 불당4로 39-21,041-622-2091
529,초등학교,천안서당초등학교,35,832,31165,충남 천안시 서북구 불당11로 63,041-558-6012
530,초등학교,천안신대초등학교,26,569,31102,충남 천안시 서북구 성정두정로 130,041-558-0642
531,초등학교,천안와촌초등학교,12,219,31152,충남 천안시 서북구 와촌4길 16,041-579-9084
532,초등학교,천안청룡초등학교,27,642,31202,충남 천안시 동남구 풍세로 801-28,041-579-9530
533,초등학교,천안삼거리초등학교,28,496,31195,충남 천안시 동남구 충절로 340 ,041-569-1392
534,초등학교,천안쌍정초등학교,23,520,31179,충남 천안시 서북구 충무로 5-44,041-578-9384
535,초등학교,천안새샘초등학교,48,1171,31207,충남 천안시 동남구 통정9로 58,041-413-2300
536,초등학교,천안가온초등학교,39,957,31200,충남 천안시 동남구 청수14로 21,041-522-1731
537,초등학교,천안차암초등학교,64,1426,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502
538,초등학교,천안불무초등학교,75,2072,31156,충남 천안시 서북구 불당23로 29,041-567-0800
539,초등학교,천안아름초등학교,75,2202,31156,충남 천안시 서북구 불당27길 1,041-418-9650
540,초등학교,천안한들초등학교,33,694,31096,충남 천안시 서북구 한들2로 33,041-551-5804
541,초등학교,천안성성초등학교,53,1248,31078,충남 천안시 서북구 성성10길 77,041-569-0371
542,초등학교,천안희망초등학교,39,888,31115,충남 천안시 동남구 단대로 21-7,041-622-4100
543,초등학교,천안호수초등학교,27,555,31168,충남 천안시 서북구 공원로 140,041-533-5362
544,초등학교,천안가람초등학교,53,1259,31078,충남 천안시 서북구 성성6로 47-11,041-415-2472
545,초등학교,천안능수초등학교,18,366,31212,충남 천안시 동남구 청당용평로 112,041-414-2580
546,초등학교,풍세초등학교,15,145,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-566-7006
547,초등학교,용정초등학교,6,84,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7184
548,초등학교,미죽초등학교,6,101,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-566-6238
549,초등학교,광덕초등학교,7,68,31221,충남 천안시 동남구 광덕면 신흥리3길 36,041-567-0347
550,초등학교,행정초등학교,6,14,31223,충남 천안시 동남구 광덕면 광덕로 534,041-566-6503
551,초등학교,보산원초등학교,6,47,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344
552,초등학교,목천초등학교,8,104,31231,충남 천안시 동남구 목천읍 서리2길 31,041-557-3342
553,초등학교,신계초등학교,14,200,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1291
554,초등학교,도장초등학교,6,46,31225,충남 천안시 동남구 목천읍 도장1길 73 ,041-566-6433
555,초등학교,천안부영초등학교,16,302,31226,충남 천안시 동남구 목천읍 삼성5길 22-14,041-565-1371
556,초등학교,신흥초등학교,16,339,31233,충남 천안시 동남구 목천읍 신계5길 27 ,041-557-0382
557,초등학교,위례초등학교,6,48,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7365
